# landmark_tcn training start  epochs=80 batch=64
[landmark_tcn] epoch 111/200  train_loss=0.2835 train_acc=0.925  val_loss=3.4363 val_acc=0.523
[landmark_tcn] epoch 112/200  train_loss=0.2762 train_acc=0.914  val_loss=3.3453 val_acc=0.533
[landmark_tcn] epoch 113/200  train_loss=0.2561 train_acc=0.925  val_loss=3.3035 val_acc=0.467
[landmark_tcn] epoch 114/200  train_loss=0.2738 train_acc=0.916  val_loss=3.3272 val_acc=0.542
[landmark_tcn] epoch 115/200  train_loss=0.2299 train_acc=0.956  val_loss=3.2982 val_acc=0.514
[landmark_tcn] epoch 116/200  train_loss=0.2447 train_acc=0.935  val_loss=3.3782 val_acc=0.495
[landmark_tcn] epoch 117/200  train_loss=0.2347 train_acc=0.930  val_loss=3.3051 val_acc=0.523
[landmark_tcn] epoch 118/200  train_loss=0.2364 train_acc=0.930  val_loss=3.4077 val_acc=0.570
[landmark_tcn] epoch 119/200  train_loss=0.2183 train_acc=0.951  val_loss=3.2704 val_acc=0.551
[landmark_tcn] epoch 120/200  train_loss=0.2369 train_acc=0.951  val_loss=3.3649 val_acc=0.505
[landmark_tcn] epoch 121/200  train_loss=0.2096 train_acc=0.965  val_loss=3.4184 val_acc=0.505
[landmark_tcn] epoch 122/200  train_loss=0.2053 train_acc=0.953  val_loss=3.4428 val_acc=0.523
[landmark_tcn] epoch 123/200  train_loss=0.2155 train_acc=0.946  val_loss=3.3743 val_acc=0.579
[landmark_tcn] epoch 124/200  train_loss=0.1972 train_acc=0.970  val_loss=3.4861 val_acc=0.505
[landmark_tcn] epoch 125/200  train_loss=0.2080 train_acc=0.946  val_loss=3.5677 val_acc=0.495
[landmark_tcn] epoch 126/200  train_loss=0.1959 train_acc=0.963  val_loss=3.5732 val_acc=0.514
[landmark_tcn] epoch 127/200  train_loss=0.1946 train_acc=0.963  val_loss=3.4843 val_acc=0.523
[landmark_tcn] epoch 128/200  train_loss=0.1879 train_acc=0.960  val_loss=3.5103 val_acc=0.533
[landmark_tcn] epoch 129/200  train_loss=0.1739 train_acc=0.965  val_loss=3.5785 val_acc=0.533
[landmark_tcn] epoch 130/200  train_loss=0.1704 train_acc=0.979  val_loss=3.4317 val_acc=0.523
[landmark_tcn] epoch 131/200  train_loss=0.1683 train_acc=0.972  val_loss=3.4295 val_acc=0.542
[landmark_tcn] epoch 132/200  train_loss=0.1750 train_acc=0.970  val_loss=3.4974 val_acc=0.533
[landmark_tcn] epoch 133/200  train_loss=0.1678 train_acc=0.967  val_loss=3.4734 val_acc=0.523
[landmark_tcn] epoch 134/200  train_loss=0.1638 train_acc=0.981  val_loss=3.6215 val_acc=0.523
[landmark_tcn] epoch 135/200  train_loss=0.1709 train_acc=0.967  val_loss=3.5478 val_acc=0.514
[landmark_tcn] epoch 136/200  train_loss=0.1614 train_acc=0.977  val_loss=3.5647 val_acc=0.533
[landmark_tcn] epoch 137/200  train_loss=0.1610 train_acc=0.977  val_loss=3.5484 val_acc=0.551
[landmark_tcn] epoch 138/200  train_loss=0.1541 train_acc=0.979  val_loss=3.6190 val_acc=0.514
[landmark_tcn] epoch 139/200  train_loss=0.1727 train_acc=0.970  val_loss=3.5044 val_acc=0.542
[landmark_tcn] epoch 140/200  train_loss=0.1493 train_acc=0.979  val_loss=3.5769 val_acc=0.533
[landmark_tcn] epoch 141/200  train_loss=0.1436 train_acc=0.967  val_loss=3.4775 val_acc=0.533
[landmark_tcn] epoch 142/200  train_loss=0.1462 train_acc=0.979  val_loss=3.6001 val_acc=0.505
[landmark_tcn] epoch 143/200  train_loss=0.1515 train_acc=0.984  val_loss=3.5985 val_acc=0.533
[landmark_tcn] epoch 144/200  train_loss=0.1695 train_acc=0.970  val_loss=3.6781 val_acc=0.523
[landmark_tcn] epoch 145/200  train_loss=0.1511 train_acc=0.970  val_loss=3.5173 val_acc=0.551
[landmark_tcn] epoch 146/200  train_loss=0.1479 train_acc=0.972  val_loss=3.4965 val_acc=0.505
[landmark_tcn] epoch 147/200  train_loss=0.1348 train_acc=0.967  val_loss=3.5628 val_acc=0.551
[landmark_tcn] epoch 148/200  train_loss=0.1345 train_acc=0.981  val_loss=3.6184 val_acc=0.505
[landmark_tcn] epoch 149/200  train_loss=0.1288 train_acc=0.986  val_loss=3.6096 val_acc=0.551
[landmark_tcn] epoch 150/200  train_loss=0.1271 train_acc=0.984  val_loss=3.6140 val_acc=0.533
[landmark_tcn] epoch 151/200  train_loss=0.1143 train_acc=0.986  val_loss=3.5720 val_acc=0.551
[landmark_tcn] epoch 152/200  train_loss=0.1278 train_acc=0.984  val_loss=3.6813 val_acc=0.551
[landmark_tcn] epoch 153/200  train_loss=0.1304 train_acc=0.981  val_loss=3.7101 val_acc=0.523
